slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio
ethereum,ETH,Ethereum,2015-08-25,3,1.23,1.24,1.13,1.14,1307180,82922633,0.0909
ethereum,ETH,Ethereum,2015-08-26,3,1.13,1.2,1.06,1.16,1056750,84390924,0.7143
ethereum,ETH,Ethereum,2015-08-27,3,1.17,1.19,1.14,1.15,686662,83524585,0.2
ethereum,ETH,Ethereum,2015-08-28,3,1.15,1.21,1.12,1.19,721872,86731077,0.7778
ethereum,ETH,Ethereum,2015-08-29,3,1.19,1.21,1.15,1.18,375377,86113895,0.5
ethereum,ETH,Ethereum,2015-08-30,3,1.18,1.37,1.17,1.32,1337650,96097349,0.75
ethereum,ETH,Ethereum,2015-08-31,3,1.32,1.4,1.2,1.36,1447180,98963975,0.8
ethereum,ETH,Ethereum,2015-09-01,3,1.35,1.39,1.34,1.35,778862,98507500,0.2
ethereum,ETH,Ethereum,2015-09-02,3,1.35,1.35,1.26,1.29,883769,94389544,0.3333
ethereum,ETH,Ethereum,2015-09-03,3,1.3,1.31,1.21,1.26,702991,92234142,0.5
ethereum,ETH,Ethereum,2015-09-04,3,1.26,1.3,1.24,1.27,474391,92953701,0.5
ethereum,ETH,Ethereum,2015-09-05,3,1.28,1.34,1.27,1.34,448453,97683883,1
ethereum,ETH,Ethereum,2015-09-06,3,1.34,1.37,1.29,1.3,491968,94580164,0.125
ethereum,ETH,Ethereum,2015-09-07,3,1.3,1.31,1.24,1.25,489014,91020735,0.1429
ethereum,ETH,Ethereum,2015-09-08,3,1.25,1.28,1.23,1.24,427892,90743242,0.2
ethereum,ETH,Ethereum,2015-09-09,3,1.24,1.26,1.2,1.21,366748,88150125,0.1667
ethereum,ETH,Ethereum,2015-09-10,3,1.21,1.22,1.14,1.17,662782,85202732,0.375
ethereum,ETH,Ethereum,2015-09-11,3,1.16,1.17,0.940675,0.982978,1942600,71868265,0.1845
ethereum,ETH,Ethereum,2015-09-12,3,0.987228,1.11,0.96978,1.04,772430,75971273,0.5008
ethereum,ETH,Ethereum,2015-09-13,3,1.04,1.04,0.902832,0.936003,644138,68480587,0.2418
ethereum,ETH,Ethereum,2015-09-14,3,0.940566,0.949387,0.87176,0.875622,741085,64084135,0.0498
ethereum,ETH,Ethereum,2015-09-15,3,0.875189,1.05,0.875189,0.94441,703390,69141409,0.396
ethereum,ETH,Ethereum,2015-09-16,3,0.941977,0.952698,0.901639,0.907175,615593,66437873,0.1084
ethereum,ETH,Ethereum,2015-09-17,3,0.906865,0.909204,0.831132,0.874231,897940,64046216,0.552
ethereum,ETH,Ethereum,2015-09-18,3,0.874574,0.888102,0.833908,0.853685,484622,62561883,0.3649
ethereum,ETH,Ethereum,2015-09-19,3,0.849603,0.911883,0.833784,0.882391,386988,64687992,0.6224
ethereum,ETH,Ethereum,2015-09-20,3,0.881191,0.947741,0.873205,0.938445,508314,68822183,0.8753
ethereum,ETH,Ethereum,2015-09-21,3,0.941496,0.957326,0.878301,0.919047,424039,67422915,0.5156
ethereum,ETH,Ethereum,2015-09-22,3,0.919337,0.919337,0.865225,0.901796,487914,66180153,0.6758
ethereum,ETH,Ethereum,2015-09-23,3,0.90356,0.90891,0.885136,0.893406,200541,65587499,0.3479
ethereum,ETH,Ethereum,2015-09-24,3,0.896796,0.908571,0.79346,0.81361,842505,59749888,0.175
ethereum,ETH,Ethereum,2015-09-25,3,0.820031,0.825665,0.712745,0.736223,903457,54085581,0.2079
ethereum,ETH,Ethereum,2015-09-26,3,0.73763,0.787544,0.709328,0.785964,369620,57759115,0.9798
ethereum,ETH,Ethereum,2015-09-27,3,0.791277,0.791277,0.719169,0.720839,413801,52990396,0.0232
ethereum,ETH,Ethereum,2015-09-28,3,0.723715,0.725677,0.557062,0.582886,1320890,42863006,0.1532
ethereum,ETH,Ethereum,2015-09-29,3,0.579414,0.67583,0.558346,0.661146,913992,48633259,0.875
ethereum,ETH,Ethereum,2015-09-30,3,0.661192,0.746722,0.635861,0.738644,619926,54351468,0.9271
ethereum,ETH,Ethereum,2015-10-01,3,0.734307,0.734307,0.655906,0.690215,596084,50805919,0.4376
ethereum,ETH,Ethereum,2015-10-02,3,0.683732,0.69112,0.654605,0.678574,219318,49966502,0.6564
ethereum,ETH,Ethereum,2015-10-03,3,0.678783,0.709204,0.675482,0.687171,163326,50616972,0.3466
ethereum,ETH,Ethereum,2015-10-04,3,0.686343,0.693126,0.660716,0.668379,103497,49249083,0.2364
ethereum,ETH,Ethereum,2015-10-05,3,0.666784,0.674438,0.62445,0.628643,234263,46336892,0.0839
ethereum,ETH,Ethereum,2015-10-06,3,0.622218,0.653944,0.60623,0.650645,262674,47974298,0.9309
ethereum,ETH,Ethereum,2015-10-07,3,0.650515,0.656301,0.602423,0.609388,218327,44947527,0.1293
ethereum,ETH,Ethereum,2015-10-08,3,0.609501,0.633138,0.591971,0.621716,310266,45872837,0.7225
ethereum,ETH,Ethereum,2015-10-09,3,0.655084,0.692296,0.632116,0.650628,386420,48022036,0.3076
ethereum,ETH,Ethereum,2015-10-10,3,0.641187,0.649022,0.624374,0.627857,141555,46356711,0.1413
ethereum,ETH,Ethereum,2015-10-11,3,0.627461,0.639506,0.618335,0.634963,102128,46897253,0.7854
ethereum,ETH,Ethereum,2015-10-12,3,0.634515,0.657789,0.62603,0.62603,109567,46253823,0
ethereum,ETH,Ethereum,2015-10-13,3,0.627943,0.63024,0.599214,0.607655,303044,44911718,0.2721
ethereum,ETH,Ethereum,2015-10-14,3,0.61224,0.61224,0.483974,0.522968,971664,38665409,0.304
ethereum,ETH,Ethereum,2015-10-15,3,0.523278,0.572714,0.51473,0.561878,371022,41556025,0.8131
ethereum,ETH,Ethereum,2015-10-16,3,0.562593,0.568861,0.522533,0.536495,249891,39691829,0.3014
ethereum,ETH,Ethereum,2015-10-17,3,0.534117,0.56346,0.526961,0.547178,313860,40496031,0.5539
ethereum,ETH,Ethereum,2015-10-18,3,0.547913,0.552234,0.512861,0.517734,133690,38329702,0.1238
ethereum,ETH,Ethereum,2015-10-19,3,0.517621,0.521546,0.480994,0.489014,243742,36215624,0.1978
ethereum,ETH,Ethereum,2015-10-20,3,0.489629,0.501898,0.431648,0.434829,383921,32213626,0.0453
ethereum,ETH,Ethereum,2015-10-21,3,0.431589,0.482988,0.420897,0.447329,609085,33150826,0.4257
ethereum,ETH,Ethereum,2015-10-22,3,0.444988,0.619466,0.420991,0.567702,924822,42085192,0.7392
ethereum,ETH,Ethereum,2015-10-23,3,0.56637,0.611743,0.504284,0.539657,878822,40020348,0.3292
ethereum,ETH,Ethereum,2015-10-24,3,0.539681,0.577396,0.518688,0.56359,258356,41809764,0.7648
ethereum,ETH,Ethereum,2015-10-25,3,0.563207,0.688192,0.561383,0.616039,635384,45716387,0.431
ethereum,ETH,Ethereum,2015-10-26,3,0.619743,0.757517,0.597098,0.731317,1089120,54289124,0.8367
ethereum,ETH,Ethereum,2015-10-27,3,0.70889,0.898172,0.70889,0.869641,1846370,64580263,0.8493
ethereum,ETH,Ethereum,2015-10-28,3,0.870938,1.06,0.807857,1,2373050,74469864,0.762
ethereum,ETH,Ethereum,2015-10-29,3,1.01,1.21,0.947374,1.21,2279240,89668667,1
ethereum,ETH,Ethereum,2015-10-30,3,1.21,1.35,0.96816,1.04,2429200,77401817,0.1881
ethereum,ETH,Ethereum,2015-10-31,3,1.05,1.06,0.900171,0.916627,673892,68163368,0.103
ethereum,ETH,Ethereum,2015-11-01,3,0.920847,1.08,0.899082,1.06,588913,78530263,0.8895
ethereum,ETH,Ethereum,2015-11-02,3,1.06,1.1,0.953647,0.989789,1145200,73654327,0.247
ethereum,ETH,Ethereum,2015-11-03,3,0.994568,1.07,0.936615,1.01,1907690,75434114,0.5502
ethereum,ETH,Ethereum,2015-11-04,3,1.01,1.04,0.725665,0.89905,3060340,66947930,0.5516
ethereum,ETH,Ethereum,2015-11-05,3,0.900699,0.991259,0.860382,0.895637,1179840,66716645,0.2694
ethereum,ETH,Ethereum,2015-11-06,3,0.904772,0.989848,0.852929,0.926032,913666,69004595,0.5339
ethereum,ETH,Ethereum,2015-11-07,3,0.923732,0.943787,0.863539,0.927974,890187,69172171,0.8029
ethereum,ETH,Ethereum,2015-11-08,3,0.915661,1.03,0.915661,1.03,1021460,76614488,1
ethereum,ETH,Ethereum,2015-11-09,3,1.03,1.11,0.945263,0.999278,2045290,74537426,0.3279
ethereum,ETH,Ethereum,2015-11-10,3,1,1.05,0.920968,0.934348,854581,69717801,0.1037
ethereum,ETH,Ethereum,2015-11-11,3,0.941296,0.945278,0.729775,0.791829,1278580,59103443,0.2879
ethereum,ETH,Ethereum,2015-11-12,3,0.796455,0.913919,0.76351,0.895711,806156,66880152,0.8789
ethereum,ETH,Ethereum,2015-11-13,3,0.907722,0.917309,0.846023,0.904096,543671,67529354,0.8146
ethereum,ETH,Ethereum,2015-11-14,3,0.905469,0.906113,0.876908,0.888812,372514,66410518,0.4076
ethereum,ETH,Ethereum,2015-11-15,3,0.891217,0.921516,0.874957,0.906368,411848,67745801,0.6746
ethereum,ETH,Ethereum,2015-11-16,3,0.906166,0.944732,0.891971,0.928962,620945,69458011,0.7011
ethereum,ETH,Ethereum,2015-11-17,3,0.924948,1.03,0.905794,1.01,1145440,75392162,0.839
ethereum,ETH,Ethereum,2015-11-18,3,0.993214,1.01,0.940516,0.993319,681104,74320769,0.7599
ethereum,ETH,Ethereum,2015-11-19,3,0.988713,1.01,0.937498,0.955532,443528,71517342,0.2487
ethereum,ETH,Ethereum,2015-11-20,3,0.955735,0.955735,0.898576,0.92492,614335,69247998,0.4609
ethereum,ETH,Ethereum,2015-11-21,3,0.928758,0.978743,0.92094,0.97614,455976,73107357,0.955
ethereum,ETH,Ethereum,2015-11-22,3,0.979765,0.984132,0.958982,0.968018,372173,72523507,0.3593
ethereum,ETH,Ethereum,2015-11-23,3,0.967493,0.969057,0.93387,0.946969,441875,70970606,0.3723
ethereum,ETH,Ethereum,2015-11-24,3,0.946442,0.948055,0.895931,0.900191,524195,67487356,0.0817
ethereum,ETH,Ethereum,2015-11-25,3,0.893827,0.899493,0.851106,0.863537,622991,64760707,0.2569
ethereum,ETH,Ethereum,2015-11-26,3,0.863273,0.903643,0.80436,0.884183,947473,66330892,0.804
ethereum,ETH,Ethereum,2015-11-27,3,0.8821,0.900051,0.860695,0.867951,403813,65135635,0.1844
ethereum,ETH,Ethereum,2015-11-28,3,0.868102,0.929293,0.862122,0.915703,462464,68742122,0.7977
ethereum,ETH,Ethereum,2015-11-29,3,0.914144,0.914153,0.860533,0.878614,448358,65980042,0.3372
ethereum,ETH,Ethereum,2015-11-30,3,0.879951,0.895054,0.847696,0.873119,784439,65589555,0.5368
ethereum,ETH,Ethereum,2015-12-01,3,0.878316,0.886736,0.853937,0.8748,652857,65738067,0.6361
ethereum,ETH,Ethereum,2015-12-02,3,0.873171,0.878017,0.818924,0.82121,506307,61730775,0.0387
ethereum,ETH,Ethereum,2015-12-03,3,0.818546,0.837664,0.785086,0.812143,539969,61070307,0.5146
ethereum,ETH,Ethereum,2015-12-04,3,0.812082,0.859575,0.802373,0.840041,241278,63189182,0.6585
ethereum,ETH,Ethereum,2015-12-05,3,0.841195,0.872821,0.824444,0.862438,232743,64895497,0.7854
ethereum,ETH,Ethereum,2015-12-06,3,0.866417,0.882436,0.833115,0.8355,443608,62889050,0.0484
ethereum,ETH,Ethereum,2015-12-07,3,0.836322,0.850791,0.78765,0.811264,520409,61084951,0.374
ethereum,ETH,Ethereum,2015-12-08,3,0.806024,0.823645,0.782328,0.822118,445903,61922409,0.963
ethereum,ETH,Ethereum,2015-12-09,3,0.824454,0.824454,0.770488,0.792167,624221,59687098,0.4017
ethereum,ETH,Ethereum,2015-12-10,3,0.79559,0.86159,0.787291,0.840396,369589,63342630,0.7147
ethereum,ETH,Ethereum,2015-12-11,3,0.839995,0.929762,0.819789,0.929762,801072,70101842,1
ethereum,ETH,Ethereum,2015-12-12,3,0.931196,1.05,0.928546,0.976973,1376280,73686284,0.3987
ethereum,ETH,Ethereum,2015-12-13,3,0.971538,0.989394,0.937438,0.952884,273614,71894531,0.2973
ethereum,ETH,Ethereum,2015-12-14,3,0.95662,1.01,0.950178,0.993022,563436,74947760,0.7162
ethereum,ETH,Ethereum,2015-12-15,3,0.990589,1.03,0.98224,1.01,578618,76568082,0.5812
ethereum,ETH,Ethereum,2015-12-16,3,1.02,1.02,0.974927,0.991182,320767,74858729,0.3606
ethereum,ETH,Ethereum,2015-12-17,3,0.993043,0.997611,0.911807,0.940701,640765,71069938,0.3367
ethereum,ETH,Ethereum,2015-12-18,3,0.938327,0.939493,0.908081,0.920127,300787,69538663,0.3835
ethereum,ETH,Ethereum,2015-12-19,3,0.921524,0.925874,0.888916,0.908072,343535,68650439,0.5183
ethereum,ETH,Ethereum,2015-12-20,3,0.90824,0.943185,0.899441,0.903885,472164,68356313,0.1016
ethereum,ETH,Ethereum,2015-12-21,3,0.906065,0.91739,0.891182,0.900771,549113,68143246,0.3659
ethereum,ETH,Ethereum,2015-12-22,3,0.894973,0.909526,0.862059,0.864202,454249,65398932,0.0451
ethereum,ETH,Ethereum,2015-12-23,3,0.861782,0.88294,0.856065,0.858077,334993,64957356,0.0749
ethereum,ETH,Ethereum,2015-12-24,3,0.859433,0.882818,0.8476,0.863262,354646,65371538,0.4447
ethereum,ETH,Ethereum,2015-12-25,3,0.861993,0.882556,0.861993,0.870363,187114,65931377,0.407
ethereum,ETH,Ethereum,2015-12-26,3,0.870766,0.897453,0.838314,0.854603,425282,64758910,0.2754
ethereum,ETH,Ethereum,2015-12-27,3,0.853166,0.861538,0.841151,0.856365,164565,64913919,0.7463
ethereum,ETH,Ethereum,2015-12-28,3,0.856356,0.872394,0.832932,0.845005,235134,64074279,0.3059
ethereum,ETH,Ethereum,2015-12-29,3,0.843835,0.873054,0.833232,0.873054,215742,66222901,1
ethereum,ETH,Ethereum,2015-12-30,3,0.874258,0.941099,0.866647,0.911958,604078,69196765,0.6086
ethereum,ETH,Ethereum,2015-12-31,3,0.912098,0.975414,0.910277,0.933542,663994,70858023,0.3572
ethereum,ETH,Ethereum,2016-01-01,3,0.933712,0.954822,0.931442,0.948024,206062,71980386,0.7092
ethereum,ETH,Ethereum,2016-01-02,3,0.947401,0.969637,0.93656,0.937124,255504,71176658,0.0171
ethereum,ETH,Ethereum,2016-01-03,3,0.93843,0.991362,0.934313,0.971905,407632,73843292,0.6589
ethereum,ETH,Ethereum,2016-01-04,3,0.972045,0.976438,0.929835,0.95448,346245,72543707,0.5288
ethereum,ETH,Ethereum,2016-01-05,3,0.953147,0.970597,0.946543,0.950176,219833,72240974,0.151
ethereum,ETH,Ethereum,2016-01-06,3,0.950028,0.960659,0.935708,0.95086,308791,72317149,0.6073
ethereum,ETH,Ethereum,2016-01-07,3,0.955801,0.974623,0.93583,0.942005,647462,71667152,0.1592
ethereum,ETH,Ethereum,2016-01-08,3,0.942752,0.991825,0.939715,0.986789,545600,75099809,0.9034
ethereum,ETH,Ethereum,2016-01-09,3,0.985501,0.992345,0.9736,0.986833,226281,75128312,0.7059
ethereum,ETH,Ethereum,2016-01-10,3,0.985557,1,0.975099,0.999231,390888,76097646,0.9691
ethereum,ETH,Ethereum,2016-01-11,3,0.999216,1.07,0.999216,1.06,1011920,80874514,0.8587
ethereum,ETH,Ethereum,2016-01-12,3,1.07,1.28,1.05,1.14,2898760,86951446,0.3913
ethereum,ETH,Ethereum,2016-01-13,3,1.14,1.15,1.08,1.13,1005910,85775572,0.7143
ethereum,ETH,Ethereum,2016-01-14,3,1.12,1.19,1.1,1.19,751961,90714399,1
ethereum,ETH,Ethereum,2016-01-15,3,1.18,1.32,1.14,1.21,3910550,92149709,0.3889
ethereum,ETH,Ethereum,2016-01-16,3,1.22,1.31,1.17,1.22,2462630,93117298,0.3571
ethereum,ETH,Ethereum,2016-01-17,3,1.22,1.33,1.21,1.33,1171150,101329330,1
ethereum,ETH,Ethereum,2016-01-18,3,1.33,1.54,1.32,1.43,4278930,108912542,0.5
ethereum,ETH,Ethereum,2016-01-19,3,1.42,1.46,1.31,1.37,2446740,104750746,0.4
ethereum,ETH,Ethereum,2016-01-20,3,1.36,1.62,1.35,1.53,2933220,117043472,0.6667
ethereum,ETH,Ethereum,2016-01-21,3,1.53,1.59,1.49,1.55,1614960,118743869,0.6
ethereum,ETH,Ethereum,2016-01-22,3,1.55,1.58,1.47,1.5,1567240,114784065,0.2727
ethereum,ETH,Ethereum,2016-01-23,3,1.5,2.03,1.5,1.97,7370980,150874912,0.8868
ethereum,ETH,Ethereum,2016-01-24,3,1.9,2.3,1.9,2.14,9669770,163819884,0.6
ethereum,ETH,Ethereum,2016-01-25,3,2.15,2.66,2.06,2.5,10739300,191276220,0.7333
ethereum,ETH,Ethereum,2016-01-26,3,2.53,2.84,1.99,2.28,13939200,174275656,0.3412
ethereum,ETH,Ethereum,2016-01-27,3,2.25,2.59,2.19,2.39,6961080,182923580,0.5
ethereum,ETH,Ethereum,2016-01-28,3,2.41,2.68,2.34,2.53,4903850,193551356,0.5588
ethereum,ETH,Ethereum,2016-01-29,3,2.54,2.61,2.3,2.49,6662340,191198055,0.6129
ethereum,ETH,Ethereum,2016-01-30,3,2.51,2.61,2.4,2.45,3725080,187435391,0.2381
ethereum,ETH,Ethereum,2016-01-31,3,2.44,2.53,2.19,2.31,5847500,176834424,0.3529
ethereum,ETH,Ethereum,2016-02-01,3,2.32,2.32,2.12,2.21,3994100,169654871,0.45
ethereum,ETH,Ethereum,2016-02-02,3,2.22,2.45,2.16,2.44,3451270,187200922,0.9655
ethereum,ETH,Ethereum,2016-02-03,3,2.43,2.54,2.34,2.53,3987750,194099730,0.95
ethereum,ETH,Ethereum,2016-02-04,3,2.53,2.63,2.44,2.58,3552320,197953037,0.7368
ethereum,ETH,Ethereum,2016-02-05,3,2.57,2.61,2.47,2.54,2636700,195018592,0.5
ethereum,ETH,Ethereum,2016-02-06,3,2.53,2.56,2.47,2.53,1921240,194733892,0.6667
ethereum,ETH,Ethereum,2016-02-07,3,2.54,3.06,2.54,2.96,7007060,227838892,0.8077
ethereum,ETH,Ethereum,2016-02-08,3,2.97,3.27,2.88,3.18,9725690,244479014,0.7692
ethereum,ETH,Ethereum,2016-02-09,3,3.17,4.04,3.17,4.04,17954000,311075408,1
ethereum,ETH,Ethereum,2016-02-10,3,4,4.86,3.78,4.44,28640400,341305129,0.6111
ethereum,ETH,Ethereum,2016-02-11,3,4.5,6.29,4.34,6.01,26408200,462770855,0.8564
ethereum,ETH,Ethereum,2016-02-12,3,5.95,6.58,5.07,5.55,23360800,427037697,0.3179
ethereum,ETH,Ethereum,2016-02-13,3,5.69,5.72,4.19,5.39,24218800,414729231,0.7843
ethereum,ETH,Ethereum,2016-02-14,3,5.4,5.47,4.45,5.24,11226500,403647764,0.7745
ethereum,ETH,Ethereum,2016-02-15,3,5.33,5.89,5.02,5.29,13934200,407524960,0.3103
ethereum,ETH,Ethereum,2016-02-16,3,5.33,5.47,4.03,4.32,15889100,332648533,0.2014
ethereum,ETH,Ethereum,2016-02-17,3,4.29,4.77,3.5,3.76,15451000,289721943,0.2047
ethereum,ETH,Ethereum,2016-02-18,3,3.77,4.77,3.42,4.4,17054000,339328346,0.7259
ethereum,ETH,Ethereum,2016-02-19,3,4.38,4.79,4.27,4.74,7666320,365577845,0.9038
ethereum,ETH,Ethereum,2016-02-20,3,4.68,4.75,4.13,4.34,8631090,335088727,0.3387
ethereum,ETH,Ethereum,2016-02-21,3,4.36,4.71,4.23,4.65,6413550,359310563,0.875
ethereum,ETH,Ethereum,2016-02-22,3,4.66,5.65,4.64,5.62,15056200,433798974,0.9703
ethereum,ETH,Ethereum,2016-02-23,3,5.68,5.95,5.39,5.59,13380600,431598157,0.3571
ethereum,ETH,Ethereum,2016-02-24,3,5.6,6.24,5.51,6.24,11426500,481995066,1
ethereum,ETH,Ethereum,2016-02-25,3,6.19,6.65,5.55,6.1,21471800,471975064,0.5
ethereum,ETH,Ethereum,2016-02-26,3,6.04,6.27,5.74,5.92,9526860,457966535,0.3396
ethereum,ETH,Ethereum,2016-02-27,3,5.96,6.53,5.92,6.43,8903210,497119698,0.8361
ethereum,ETH,Ethereum,2016-02-28,3,6.41,6.62,6.24,6.47,9851660,500569665,0.6053
ethereum,ETH,Ethereum,2016-02-29,3,6.46,6.61,6.05,6.34,7648020,490556570,0.5179
ethereum,ETH,Ethereum,2016-03-01,3,6.32,7.91,6.31,7.65,23098100,592677993,0.8375
ethereum,ETH,Ethereum,2016-03-02,3,7.63,8.75,7.37,8.47,29130200,655748796,0.7971
ethereum,ETH,Ethereum,2016-03-03,3,8.44,10.1,8.33,9.29,40314900,720179291,0.5424
ethereum,ETH,Ethereum,2016-03-04,3,9.24,10.41,8.48,10.41,35520100,806593727,1
ethereum,ETH,Ethereum,2016-03-05,3,10.37,12.27,9.97,11,56439600,853205226,0.4478
ethereum,ETH,Ethereum,2016-03-06,3,11.2,11.84,9.99,11.38,39112000,882886756,0.7514
ethereum,ETH,Ethereum,2016-03-07,3,11.43,11.65,9.31,9.55,34085100,741166643,0.1026
ethereum,ETH,Ethereum,2016-03-08,3,9.58,10.17,8.82,9.85,25524300,764269545,0.763
ethereum,ETH,Ethereum,2016-03-09,3,9.79,12.05,9.67,11.9,27540500,923733301,0.937
ethereum,ETH,Ethereum,2016-03-10,3,11.88,12.24,10.99,11.31,26851500,877988473,0.256
ethereum,ETH,Ethereum,2016-03-11,3,11.22,11.6,10.39,11.08,21002700,861012043,0.5702
ethereum,ETH,Ethereum,2016-03-12,3,11.13,13.53,11.09,13.53,48957300,1051728778,1
ethereum,ETH,Ethereum,2016-03-13,3,13.51,15.26,13.47,14.48,43915100,1125287882,0.5642
ethereum,ETH,Ethereum,2016-03-14,3,14.51,15.01,11.58,12.45,58385100,968384041,0.2536
ethereum,ETH,Ethereum,2016-03-15,3,13,13.2,12.05,13.01,28404500,1012119266,0.8348
ethereum,ETH,Ethereum,2016-03-16,3,13.02,13.73,12.5,12.52,24335500,974447125,0.0163
ethereum,ETH,Ethereum,2016-03-17,3,12.56,12.64,10.44,11.08,41650600,865792703,0.2909
ethereum,ETH,Ethereum,2016-03-18,3,11.11,11.18,8.52,11,53956800,859618881,0.9323
ethereum,ETH,Ethereum,2016-03-19,3,11.2,11.2,9.78,10.53,26735700,823422650,0.5282
ethereum,ETH,Ethereum,2016-03-20,3,10.52,10.9,9.57,10.32,17651100,807256577,0.5639
ethereum,ETH,Ethereum,2016-03-21,3,10.3,12.01,10.16,11.86,28572600,928428770,0.9189
ethereum,ETH,Ethereum,2016-03-22,3,11.88,12.03,11.18,11.27,19730300,883434497,0.1059
ethereum,ETH,Ethereum,2016-03-23,3,11.33,12.43,11.24,12.42,19353200,973296475,0.9916
ethereum,ETH,Ethereum,2016-03-24,3,12.44,12.5,10.8,11.23,26081800,881027910,0.2529
ethereum,ETH,Ethereum,2016-03-25,3,11.26,11.37,10.53,10.74,13782000,842804289,0.25
ethereum,ETH,Ethereum,2016-03-26,3,10.77,11.18,10.59,10.97,9425480,861261383,0.6441
ethereum,ETH,Ethereum,2016-03-27,3,10.99,11.05,10.11,10.42,16744800,818048967,0.3298
ethereum,ETH,Ethereum,2016-03-28,3,10.43,11.86,10.41,11.67,23188300,916272916,0.869
ethereum,ETH,Ethereum,2016-03-29,3,11.75,11.91,11.35,11.66,17684200,915917612,0.5536
ethereum,ETH,Ethereum,2016-03-30,3,11.61,12.18,11.47,11.95,19351200,939593767,0.6761
ethereum,ETH,Ethereum,2016-03-31,3,11.92,12.01,11.32,11.4,14966700,896764774,0.1159
ethereum,ETH,Ethereum,2016-04-01,3,11.4,11.85,11.4,11.66,11373100,917590806,0.5778
ethereum,ETH,Ethereum,2016-04-02,3,11.63,11.69,11.4,11.6,8682620,912861404,0.6897
ethereum,ETH,Ethereum,2016-04-03,3,11.63,11.71,11.51,11.62,5580550,914757199,0.55
ethereum,ETH,Ethereum,2016-04-04,3,11.62,11.62,11.02,11.16,9599070,878817015,0.2333
ethereum,ETH,Ethereum,2016-04-05,3,11.21,11.21,10.13,10.44,20557300,822498173,0.287
ethereum,ETH,Ethereum,2016-04-06,3,10.45,10.97,10.28,10.69,16997100,842318789,0.5942
ethereum,ETH,Ethereum,2016-04-07,3,10.7,10.81,9.95,10.07,13464500,794097554,0.1395
ethereum,ETH,Ethereum,2016-04-08,3,10.08,10.39,9.66,9.72,14660600,766797893,0.0822
ethereum,ETH,Ethereum,2016-04-09,3,9.69,10.09,9.07,9.15,16194800,722193576,0.0784
ethereum,ETH,Ethereum,2016-04-10,3,9.15,9.22,7.46,8.94,42613400,705565730,0.8409
ethereum,ETH,Ethereum,2016-04-11,3,8.94,8.95,8,8.64,15138100,682735835,0.6737
ethereum,ETH,Ethereum,2016-04-12,3,8.64,8.64,7.15,7.44,23190100,588069234,0.1946
ethereum,ETH,Ethereum,2016-04-13,3,7.44,8.72,7.07,8.04,31403300,635899507,0.5879
ethereum,ETH,Ethereum,2016-04-14,3,8.08,8.76,8.02,8.39,13590700,663262434,0.5
ethereum,ETH,Ethereum,2016-04-15,3,8.39,8.62,8.1,8.24,12179000,652099781,0.2692
ethereum,ETH,Ethereum,2016-04-16,3,8.24,8.65,8.11,8.61,9888460,681383666,0.9259
ethereum,ETH,Ethereum,2016-04-17,3,8.62,9.7,8.56,9.31,24619600,737045140,0.6579
ethereum,ETH,Ethereum,2016-04-18,3,9.33,9.51,8.5,9.04,21084100,715710193,0.5347
ethereum,ETH,Ethereum,2016-04-19,3,9.08,9.31,8.6,8.71,12899100,690548723,0.1549
ethereum,ETH,Ethereum,2016-04-20,3,8.69,8.83,8.31,8.47,15634700,671081004,0.3077
